StudentID,Name,Semester,Attendance,Python,SQL,Maths,DBMS,Aptitude,Projects,PowerBI_Skill,Excel_Skill,HTML_CSS_Skill,Java_Skill,Recommended_Career
STU175,Ravi Iyer,1,84.9,49.0,86.0,78,68,84,2,No,Yes,No,Yes,Software Developer
STU176,Kumar Devi,3,84.6,39.0,64.0,74,43,78,2,Yes,Yes,No,Yes,Needs Skill Improvement
STU177,Sneha Devi,5,68.6,100.0,77.0,74,52,80,0,Yes,No,Yes,No,Data Analyst
STU178,Vignesh Pillai,5,59.7,89.0,64.0,75,67,64,2,No,Yes,Yes,No,UI/UX / Frontend
STU179,Mahesh Devi,4,87.6,89.0,79.0,50,54,66,4,Yes,No,No,Yes,Data Analyst
STU180,Senthil Devi,1,92.8,76.0,83.0,80,84,85,3,Yes,Yes,Yes,No,Data Analyst
STU181,Suresh Nair,3,85.2,78.0,74.0,54,48,85,4,No,No,No,No,Data Analyst
STU182,Aishwarya Nair,4,74.4,88.0,47.0,79,49,89,3,Yes,Yes,No,No,Needs Skill Improvement
STU183,Divya Raj,1,92.4,52.0,74.0,84,66,85,4,No,No,Yes,No,UI/UX / Frontend
STU184,Uma Iyer,1,73.9,37.0,84.0,76,39,43,3,Yes,Yes,Yes,Yes,Needs Skill Improvement
STU185,Deepika Devi,2,68.0,63.0,69.0,75,88,55,1,No,No,Yes,Yes,Software Developer
STU186,Arjun Menon,2,100.0,65.0,88.0,94,41,71,1,Yes,Yes,No,Yes,Needs Skill Improvement
STU187,Aishwarya Sharma,3,97.0,66.0,56.0,78,56,79,1,No,No,No,Yes,Needs Skill Improvement
STU188,Revathi Devi,1,75.6,83.0,78.0,87,52,71,2,No,Yes,No,No,Data Analyst
STU189,Dinesh Reddy,1,73.8,78.0,69.0,88,100,62,3,Yes,No,No,Yes,Software Developer
STU190,Divya Reddy,1,82.9,79.0,84.0,77,71,80,3,No,No,No,No,Data Analyst
STU191,Meena Devi,2,78.0,77.0,89.0,60,70,64,3,No,Yes,Yes,No,Data Analyst
STU192,Senthil Menon,4,80.3,76.0,82.0,53,87,73,1,No,Yes,No,Yes,Data Analyst
STU193,Swathi Nair,1,87.3,77.0,62.0,74,81,54,0,No,Yes,No,Yes,Software Developer
STU194,Prakash Nair,1,84.4,67.0,67.0,43,75,86,2,Yes,No,No,No,Software Developer
STU195,Bala Prasad,4,85.3,67.0,53.0,81,68,61,2,Yes,No,Yes,Yes,Software Developer
STU196,Vijay Nair,6,78.6,84.0,50.0,95,78,66,1,Yes,Yes,No,Yes,Software Developer
STU197,Preethi Menon,2,79.0,91.0,75.0,78,73,76,3,No,Yes,Yes,No,Data Analyst
STU198,Naveen Prasad,2,95.0,82.0,53.0,71,70,58,2,Yes,Yes,Yes,No,UI/UX / Frontend
STU199,Divya Pillai,6,90.1,65.0,62.0,45,58,33,2,Yes,No,No,No,Needs Skill Improvement
STU200,Arjun Kumar,6,79.7,66.0,65.0,66,100,69,3,No,Yes,Yes,No,UI/UX / Frontend
STU201,Ganesh Kumar,1,77.0,64.0,53.0,68,91,79,3,Yes,Yes,Yes,No,Software Developer
STU202,Gayathri Menon,5,100.0,80.0,76.0,81,56,86,3,Yes,No,No,No,Data Analyst
STU203,Vidya Sharma,1,100.0,64.0,97.0,74,55,62,3,Yes,No,Yes,Yes,Needs Skill Improvement
STU204,Kumar Raj,2,87.4,91.0,100.0,70,51,81,4,No,No,Yes,No,Data Analyst
STU205,Karthik Pillai,1,76.9,49.0,76.0,81,57,93,1,No,No,Yes,No,UI/UX / Frontend
STU206,Deepika Nair,1,61.3,100.0,68.0,96,40,61,2,No,Yes,No,No,Needs Skill Improvement
STU207,Siva Devi,5,72.5,80.0,77.0,75,56,59,4,Yes,No,No,Yes,Data Analyst
STU208,Raj Kumar,5,78.1,90.0,34.0,75,47,74,2,No,Yes,No,Yes,Needs Skill Improvement
STU209,Meena Nair,6,74.4,80.0,69.0,78,66,50,1,No,Yes,Yes,No,UI/UX / Frontend
STU210,Gayathri Pillai,5,69.9,82.0,83.0,89,83,68,3,No,No,Yes,Yes,Data Analyst
STU211,Ganesh Prasad,2,79.1,74.0,81.0,72,75,68,1,No,Yes,Yes,No,UI/UX / Frontend
STU212,Ganesh Devi,3,81.7,81.0,67.0,87,33,100,2,Yes,Yes,Yes,No,UI/UX / Frontend
STU213,Uma Sharma,6,87.4,59.0,60.0,98,62,73,2,No,No,No,No,Needs Skill Improvement
STU214,Sowmya Menon,3,91.6,79.0,62.0,72,67,76,2,Yes,No,Yes,No,UI/UX / Frontend
STU215,Karthik Kumar,4,83.6,63.0,68.0,76,69,76,2,No,No,No,Yes,Software Developer
STU216,Anjali Pillai,1,92.6,83.0,81.0,80,84,66,1,No,Yes,Yes,Yes,Data Analyst
STU217,Karthik Reddy,2,99.1,62.0,54.0,41,55,50,1,Yes,No,No,No,Needs Skill Improvement
STU218,Kumar Prasad,2,53.0,64.0,70.0,87,58,69,1,No,Yes,No,No,Needs Skill Improvement
STU219,Ramesh Raj,2,96.6,83.0,79.0,83,76,74,1,No,Yes,No,Yes,Data Analyst
STU220,Keerthi Prasad,2,79.6,60.0,56.0,58,79,60,2,Yes,No,No,Yes,Software Developer
STU221,Dinesh Reddy,6,68.2,71.0,78.0,58,66,49,3,Yes,No,Yes,No,UI/UX / Frontend
STU222,Sowmya Pillai,6,96.8,73.0,60.0,72,72,72,2,No,No,Yes,Yes,Software Developer
STU223,Vidya Kumar,6,63.2,100.0,50.0,62,54,83,3,No,No,Yes,No,UI/UX / Frontend
STU224,Preethi Prasad,6,100.0,56.0,78.0,61,59,76,0,Yes,No,No,No,Needs Skill Improvement
STU225,Suresh Sharma,3,73.3,54.0,68.0,100,52,94,2,No,No,No,Yes,Needs Skill Improvement
STU226,Kavya Raj,6,83.6,66.0,44.0,79,48,59,2,Yes,Yes,Yes,No,UI/UX / Frontend
STU227,Preethi Sharma,3,82.8,51.0,75.0,83,35,75,1,No,No,No,No,Needs Skill Improvement
STU228,Vijay Pillai,2,76.9,100.0,71.0,62,50,79,2,Yes,Yes,No,Yes,Data Analyst
STU229,Pooja Devi,6,93.1,84.0,52.0,67,83,72,2,No,Yes,No,Yes,Software Developer
STU230,Sathish Reddy,4,86.0,83.0,52.0,59,54,66,4,No,Yes,Yes,Yes,Needs Skill Improvement
STU231,Sathish Kumar,1,84.7,100.0,69.0,83,66,68,2,No,No,No,No,Needs Skill Improvement
STU232,Aishwarya Prasad,1,73.9,71.0,50.0,67,49,89,4,No,No,Yes,No,UI/UX / Frontend
STU233,Arun Iyer,2,79.7,87.0,92.0,79,65,50,2,Yes,Yes,Yes,Yes,Data Analyst
STU234,Sathish Sharma,6,86.1,75.0,41.0,62,21,74,1,No,Yes,No,No,Needs Skill Improvement
STU235,Dinesh Reddy,6,77.4,97.0,72.0,67,55,65,2,Yes,Yes,No,No,Data Analyst
STU236,Aishwarya Reddy,1,61.6,88.0,77.0,100,49,5,3,No,Yes,Yes,Yes,Data Analyst
STU237,Kavya Raj,6,86.5,86.0,60.0,35,56,75,2,Yes,Yes,Yes,No,UI/UX / Frontend
STU238,Anitha Reddy,1,68.1,74.0,38.0,100,47,69,1,No,Yes,Yes,Yes,Needs Skill Improvement
STU239,Keerthi Pillai,5,97.7,71.0,59.0,86,55,97,1,No,Yes,No,No,Needs Skill Improvement
STU240,Anitha Nair,2,96.9,93.0,74.0,83,55,72,2,Yes,No,No,No,Data Analyst
STU241,Ravi Prasad,3,75.6,77.0,48.0,58,83,60,2,Yes,Yes,Yes,No,UI/UX / Frontend
STU242,Ravi Iyer,2,70.6,88.0,79.0,90,46,62,1,No,No,No,No,Data Analyst
STU243,Deepika Raj,3,72.3,88.0,70.0,75,87,77,3,No,Yes,Yes,No,Data Analyst
STU244,Preethi Nair,5,72.9,55.0,42.0,44,73,72,1,Yes,Yes,No,No,Needs Skill Improvement
STU245,Anitha Devi,2,90.3,66.0,67.0,75,61,94,3,No,No,No,Yes,Needs Skill Improvement
STU246,Lakshmi Nair,1,83.9,75.0,68.0,70,77,78,1,No,No,No,No,Software Developer
STU247,Lakshmi Iyer,4,82.9,100.0,79.0,47,76,75,2,No,Yes,No,Yes,Data Analyst
STU248,Deepika Prasad,2,89.9,61.0,90.0,66,68,48,3,No,Yes,Yes,No,UI/UX / Frontend
STU249,Suresh Nair,1,78.4,75.0,57.0,81,63,5,1,Yes,Yes,No,No,Needs Skill Improvement
STU250,Mahesh Devi,2,70.2,43.0,79.0,76,39,91,2,No,Yes,No,Yes,Needs Skill Improvement
STU251,Revathi Iyer,3,73.4,100.0,60.0,74,88,100,2,No,No,No,Yes,Software Developer
STU252,Manoj Devi,1,79.9,94.0,87.0,62,79,80,2,No,Yes,Yes,Yes,Data Analyst
STU253,Naveen Nair,3,79.0,73.0,94.0,80,49,97,2,No,Yes,No,No,Needs Skill Improvement
STU254,Nithya Raj,3,94.4,45.0,49.0,76,43,52,0,Yes,No,Yes,No,UI/UX / Frontend
STU255,Ramesh Reddy,4,83.9,72.0,62.0,49,72,62,2,No,Yes,Yes,No,UI/UX / Frontend
STU256,Arjun Iyer,1,45.5,72.0,84.0,82,70,53,1,No,No,No,Yes,Software Developer
STU257,Kavya Prasad,2,78.8,71.0,55.0,60,61,75,1,No,Yes,No,Yes,Needs Skill Improvement
STU258,Gayathri Prasad,1,73.7,74.0,71.0,56,38,54,3,Yes,No,No,No,Needs Skill Improvement
STU259,Suresh Pillai,4,61.2,67.0,82.0,54,69,49,2,No,No,Yes,Yes,Software Developer
STU260,Ramesh Iyer,4,74.9,66.0,80.0,65,80,100,1,No,No,Yes,No,Software Developer
STU261,Raj Reddy,1,70.1,76.0,52.0,31,71,83,2,No,No,No,Yes,Software Developer
STU262,Bala Pillai,2,96.8,75.0,59.0,71,55,79,1,Yes,Yes,No,No,Needs Skill Improvement
STU263,Sathish Kumar,6,83.9,71.0,65.0,50,78,68,2,No,Yes,No,No,Needs Skill Improvement
STU264,Aishwarya Kumar,5,95.7,66.0,40.0,74,70,90,2,No,Yes,No,No,Needs Skill Improvement
STU265,Arjun Devi,3,85.8,62.0,59.0,86,59,63,1,No,No,Yes,Yes,Needs Skill Improvement
STU266,Aishwarya Raj,6,71.2,78.0,73.0,75,72,70,2,No,No,No,Yes,Data Analyst
STU267,Pooja Pillai,3,77.8,89.0,88.0,100,73,74,0,No,Yes,No,No,Data Analyst
STU268,Kavya Prasad,5,100.0,80.0,65.0,44,62,89,2,No,No,Yes,Yes,Needs Skill Improvement
STU269,Sowmya Nair,3,90.1,83.0,66.0,66,59,56,2,No,No,No,Yes,Needs Skill Improvement
STU270,Uma Prasad,5,78.8,93.0,70.0,73,70,58,1,No,Yes,Yes,No,Data Analyst
STU271,Vignesh Devi,4,87.0,67.0,83.0,53,66,99,1,Yes,Yes,Yes,No,UI/UX / Frontend
STU272,Bala Sharma,5,88.7,85.0,50.0,83,69,79,2,Yes,Yes,No,No,Needs Skill Improvement
STU273,Siva Prasad,4,53.9,87.0,61.0,70,69,72,1,No,Yes,No,No,Needs Skill Improvement
STU274,Preethi Kumar,3,90.7,67.0,80.0,66,70,60,2,Yes,Yes,Yes,No,UI/UX / Frontend
STU275,Vijay Devi,4,89.6,50.0,53.0,57,79,95,3,Yes,Yes,Yes,No,Software Developer
STU276,Gayathri Pillai,6,81.0,67.0,58.0,72,70,87,1,Yes,No,No,No,Needs Skill Improvement
STU277,Ganesh Menon,4,82.3,90.0,26.0,81,55,42,3,No,No,No,No,Needs Skill Improvement
STU278,Dinesh Devi,5,94.7,100.0,53.0,82,50,70,2,No,No,No,No,Needs Skill Improvement
STU279,Mahesh Sharma,6,80.5,100.0,68.87780548628429,74,53,50,2,Yes,Yes,Yes,No,UI/UX / Frontend
STU280,Meena Prasad,5,77.4,43.0,77.0,54,51,59,2,Yes,Yes,Yes,Yes,Needs Skill Improvement
STU281,Anjali Iyer,1,76.3,63.0,75.0,90,36,71,4,No,Yes,No,Yes,Needs Skill Improvement
STU282,Deepika Prasad,2,81.2,42.0,69.0,87,59,60,2,No,Yes,No,No,Needs Skill Improvement
STU283,Naveen Sharma,1,61.0,88.0,62.0,74,89,83,1,No,Yes,Yes,Yes,Software Developer
STU284,Ravi Devi,4,98.3,67.0,78.0,69,83,87,2,No,Yes,No,No,Software Developer
STU285,Anjali Raj,4,91.4,79.0,60.0,77,47,71,0,No,Yes,No,No,Needs Skill Improvement
STU286,Senthil Pillai,2,56.5,85.0,83.0,90,72,82,2,No,Yes,Yes,No,Data Analyst
STU287,Bala Menon,4,96.7,71.0,74.0,75,62,82,1,No,Yes,No,No,Needs Skill Improvement
STU288,Deepika Sharma,6,68.2,97.0,65.0,54,50,63,0,No,No,Yes,Yes,Needs Skill Improvement
STU289,Arun Raj,4,59.8,62.0,85.0,94,46,61,4,No,No,Yes,No,UI/UX / Frontend
STU290,Manoj Sharma,6,80.1,67.0,68.0,77,48,64,0,No,Yes,Yes,No,UI/UX / Frontend
STU291,Vidya Menon,1,88.4,69.0,88.0,77,63,76,2,Yes,Yes,Yes,No,UI/UX / Frontend
STU292,Preethi Devi,1,98.9,78.0,66.0,89,49,56,1,Yes,Yes,Yes,No,UI/UX / Frontend
STU293,Revathi Sharma,4,56.2,86.0,52.0,75,96,56,2,No,No,No,No,Needs Skill Improvement
STU294,Vidya Reddy,5,100.0,91.0,62.0,54,64,61,2,Yes,No,No,No,Needs Skill Improvement
STU295,Ganesh Menon,5,93.0,76.0,74.0,66,69,64,1,No,No,Yes,No,Data Analyst
STU296,Kumar Nair,5,79.8,80.0,74.0,86,43,57,1,No,Yes,No,No,Data Analyst
STU297,Dinesh Sharma,6,92.7,78.0,69.0,75,72,79,2,No,Yes,Yes,No,UI/UX / Frontend
STU298,Mahesh Menon,3,94.0,71.0,67.0,86,99,72,4,Yes,Yes,No,No,Needs Skill Improvement
STU299,Deepika Prasad,5,70.7,81.0,54.0,52,55,82,1,No,Yes,No,No,Needs Skill Improvement
STU300,Sneha Devi,3,73.6,87.0,78.0,82,71,61,3,No,No,No,No,Data Analyst
STU301,Dinesh Raj,6,79.7,61.0,68.87780548628429,61,54,67,1,Yes,No,No,Yes,Needs Skill Improvement
STU302,Vijay Devi,3,80.4,84.0,62.0,68,86,70,3,Yes,Yes,No,Yes,Software Developer
STU303,Pooja Iyer,5,70.8,60.0,83.0,69,61,39,1,No,No,No,Yes,Needs Skill Improvement
STU304,Meena Sharma,2,69.7,80.0,70.0,86,97,50,2,Yes,No,Yes,No,Data Analyst
STU305,Manoj Nair,6,85.7,82.0,86.0,100,70,62,1,No,Yes,Yes,No,Data Analyst
STU306,Anitha Devi,1,72.5,75.0,85.0,57,52,86,1,No,Yes,No,Yes,Data Analyst
STU307,Senthil Nair,3,83.2,77.0,83.0,70,70,68,0,No,Yes,Yes,No,Data Analyst
STU308,Arjun Menon,4,86.3,62.0,73.0,72,49,85,1,No,No,Yes,Yes,Needs Skill Improvement
STU309,Divya Devi,4,80.0,84.0,46.0,39,56,51,2,Yes,No,No,No,Needs Skill Improvement
STU310,Bala Pillai,6,75.2,82.0,64.0,100,60,75,2,No,Yes,Yes,No,UI/UX / Frontend
STU311,Priya Pillai,4,69.6,91.0,50.0,94,51,79,3,Yes,Yes,Yes,Yes,Needs Skill Improvement
STU312,Mahesh Kumar,3,59.1,76.0,45.0,56,61,30,2,No,No,Yes,No,UI/UX / Frontend
STU313,Sowmya Nair,4,80.3,83.0,51.0,87,75,80,2,No,Yes,Yes,No,Software Developer
STU314,Arjun Reddy,5,77.1,77.0,85.0,61,32,73,2,Yes,Yes,No,No,Data Analyst
STU315,Manoj Menon,2,82.1,78.0,66.0,92,40,57,0,Yes,Yes,No,No,Needs Skill Improvement
STU316,Nithya Nair,4,71.7,74.0,78.0,72,61,60,1,Yes,Yes,No,No,Needs Skill Improvement
STU317,Priya Nair,3,66.7,78.0,77.0,87,88,54,1,Yes,No,Yes,No,Data Analyst
STU318,Uma Sharma,4,84.0,84.0,52.0,69,65,78,1,No,No,Yes,Yes,Software Developer
STU319,Vignesh Pillai,5,77.8,95.0,34.0,93,43,66,0,No,No,No,No,Needs Skill Improvement
STU320,Priya Nair,5,80.6,79.0,63.0,49,54,72,2,No,Yes,No,No,Needs Skill Improvement
STU321,Siva Kumar,1,85.1,75.0,59.0,78,92,67,1,No,No,Yes,No,UI/UX / Frontend
STU322,Aishwarya Sharma,4,79.9,98.0,79.0,69,74,50,1,Yes,No,No,Yes,Data Analyst
STU323,Lakshmi Kumar,3,74.8,74.0,100.0,68,59,60,2,No,No,Yes,No,UI/UX / Frontend
STU324,Bala Iyer,2,63.9,50.0,73.0,74,66,78,2,No,Yes,No,Yes,Software Developer
STU325,Revathi Iyer,3,65.5,85.0,70.0,58,58,80,4,No,Yes,No,No,Data Analyst
STU326,Bala Prasad,4,70.3,89.0,82.0,67,86,63,2,No,Yes,No,Yes,Data Analyst
STU327,Sathish Raj,4,90.6,68.0,28.0,74,71,76,1,No,No,No,Yes,Software Developer
STU328,Priya Reddy,1,81.3,90.0,60.0,48,75,31,0,No,Yes,Yes,Yes,Software Developer
STU329,Ramesh Devi,6,88.2,57.0,80.0,78,39,59,1,No,No,Yes,Yes,Needs Skill Improvement
STU330,Karthik Kumar,1,97.5,49.0,60.0,75,92,75,1,No,No,No,Yes,Software Developer
STU331,Deepika Devi,1,87.8,52.0,86.0,58,59,73,2,No,Yes,No,No,Needs Skill Improvement
STU332,Anjali Sharma,2,93.0,89.0,83.0,70,81,83,3,Yes,No,Yes,Yes,Data Analyst
STU333,Vignesh Menon,6,85.3,86.0,77.0,95,64,80,2,Yes,No,No,Yes,Data Analyst
STU334,Kavya Pillai,2,79.3,81.0,82.0,57,67,89,4,Yes,Yes,No,No,Data Analyst
STU335,Revathi Prasad,3,85.9,67.0,35.0,87,57,57,1,No,No,No,Yes,Needs Skill Improvement
STU336,Prakash Pillai,5,93.3,100.0,71.0,63,49,53,2,No,Yes,No,Yes,Data Analyst
STU337,Kavya Sharma,3,73.6,49.0,52.0,89,62,61,4,No,No,No,Yes,Needs Skill Improvement
STU338,Suresh Pillai,1,98.2,67.0,65.0,64,57,44,4,Yes,Yes,Yes,No,UI/UX / Frontend
STU339,Sowmya Pillai,6,77.2,61.0,84.0,86,37,56,2,Yes,Yes,No,Yes,Needs Skill Improvement
STU340,Bala Nair,6,91.4,55.0,71.0,77,63,72,0,No,No,No,Yes,Needs Skill Improvement
STU341,Naveen Raj,5,89.7,57.0,83.0,93,48,56,2,No,No,Yes,Yes,Needs Skill Improvement
STU342,Deepika Raj,6,77.4,79.0,96.0,82,52,95,0,No,Yes,No,No,Data Analyst
STU343,Sowmya Pillai,1,93.5,69.0,79.0,57,64,67,0,No,No,No,Yes,Needs Skill Improvement
STU344,Siva Kumar,3,100.0,67.0,70.0,70,88,89,1,No,Yes,Yes,No,Software Developer
STU345,Arjun Nair,6,70.6,64.0,55.0,60,63,59,3,No,No,Yes,No,UI/UX / Frontend
STU346,Keerthi Raj,5,84.9,81.0,47.0,74,86,80,3,No,Yes,Yes,No,Software Developer
STU347,Pooja Kumar,4,92.9,100.0,57.0,52,69,80,3,No,No,Yes,No,UI/UX / Frontend
STU348,Sneha Raj,4,60.6,44.0,78.0,74,57,43,0,Yes,Yes,Yes,No,UI/UX / Frontend
STU349,Keerthi Menon,6,74.1,96.0,49.0,83,60,65,0,Yes,No,No,No,Needs Skill Improvement
